
=== Single numbers ===                                                           |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
[0, 1]                                                                           :     2      :     2      :     1      :     1      :     1      :     1     
[0, 1, 2]                                                                        :     3      :     3      :     2      :     1      :     2      :     1     
[0, 1, 2, 3]                                                                     :     4      :     4      :     2      :     2      :     2      :     2     
[0, 1, 2, 3, 4]                                                                  :     5      :     5      :     3      :     2      :     3      :     3     
[0, 1, 2, 3, 4, 5]                                                               :     6      :     6      :     3      :     3      :     3      :     3     
[0, 1, 2, 3, 4, 5, 6]                                                            :     7      :     7      :     4      :     4      :     4      :     4     
[0, 1, 2, 3, 4, 5, 6, 7]                                                         :     8      :     8      :     4      :     5      :     5      :     4     
[0, 1, 2, 3, 4, 5, 6, 7, 8]                                                      :     9      :     9      :     5      :     6      :     6      :     5     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]                                                   :    10      :    10      :     6      :     7      :     7      :     6     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]                                               :    11      :    11      :     7      :     8      :     8      :     7     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]                                           :    12      :    12      :     8      :     9      :     9      :     8     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]                                       :    13      :    13      :     9      :    10      :    10      :     9     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]                                   :    14      :    14      :    10      :    11      :    11      :    10     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]                               :    15      :    15      :    11      :    12      :    12      :    11     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]                           :    16      :    16      :    12      :    13      :    13      :    12     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]                       :    17      :    17      :    13      :    14      :    14      :    14     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]                   :    18      :    18      :    14      :    15      :    15      :    15     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]               :    19      :    19      :    15      :    16      :    17      :    16     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]           :    20      :    20      :    16      :    17      :    18      :    17     

=== Arrays of mixed numbers ===                                                  |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 524287]                                                                      :     5      :     4      :     4      :     4      :     4      :     4     
[0, 524287, 1, 1048574]                                                          :    10      :     8      :     8      :     8      :     8      :     8     
[0, 524287, 1, 1048574, 2, 1572861]                                              :    15      :    12      :    12      :    12      :    12      :    12     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148]                                  :    20      :    16      :    16      :    17      :    16      :    16     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148, 4, 2621435]                      :    25      :    21      :    21      :    21      :    21      :    20     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148, 4, 2621435, 5, 3145722]          :    30      :    26      :    25      :    26      :    25      :    25     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148, 4, 2621435, 5, 3145722, 6, 3670009]
                                                                                 :    35      :    31      :    30      :    31      :    30      :    29     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148, 4, 2621435, 5, 3145722, 6, 3670009, 7, 4194296]
                                                                                 :    40      :    36      :    34      :    36      :    34      :    34     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148, 4, 2621435, 5, 3145722, 6, 3670009, 7, 4194296, 8, 4718583]
                                                                                 :    45      :    41      :    39      :    41      :    39      :    38     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148, 4, 2621435, 5, 3145722, 6, 3670009, 7, 4194296, 8, 4718583, 9, 5242870]
                                                                                 :    50      :    46      :    44      :    46      :    44      :    43     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148, 4, 2621435, 5, 3145722, 6, 3670009, 7, 4194296, 8, 4718583, 9, 5242870, 10, 5767157]
                                                                                 :    55      :    51      :    49      :    51      :    49      :    48     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148, 4, 2621435, 5, 3145722, 6, 3670009, 7, 4194296, 8, 4718583, 9, 5242870, 10, 5767157, 11, 6291444]
                                                                                 :    60      :    56      :    54      :    56      :    54      :    53     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148, 4, 2621435, 5, 3145722, 6, 3670009, 7, 4194296, 8, 4718583, 9, 5242870, 10, 5767157, 11, 6291444, 12, 6815731]
                                                                                 :    65      :    61      :    59      :    61      :    59      :    58     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148, 4, 2621435, 5, 3145722, 6, 3670009, 7, 4194296, 8, 4718583, 9, 5242870, 10, 5767157, 11, 6291444, 12, 6815731, 13, 7340018]
                                                                                 :    70      :    66      :    64      :    66      :    64      :    63     
[0, 524287, 1, 1048574, 2, 1572861, 3, 2097148, 4, 2621435, 5, 3145722, 6, 3670009, 7, 4194296, 8, 4718583, 9, 5242870, 10, 5767157, 11, 6291444, 12, 6815731, 13, 7340018, 14, 7864305]
                                                                                 :    75      :    71      :    69      :    71      :    68      :    68     

=== Mixed random number arrays ===                                               |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
[1, 0]                                                                           :     2      :     2      :     1      :     1      :     1      :     1     
[3, 2409]                                                                        :     3      :     3      :     3      :     3      :     3      :     3     
[4, 0, 1, 24]                                                                    :     4      :     4      :     3      :     2      :     3      :     3     
[3, 0, 1, 315009908]                                                             :     8      :     8      :     7      :     6      :     6      :     6     
[1, 11844, 1, 1, 1, 51]                                                          :     8      :     7      :     6      :     6      :     6      :     5     
[3, 62808, 1, 849, 1, 26787964]                                                  :    13      :    12      :    11      :    11      :    11      :    11     
[1, 19867, 1, 60216, 2, 0, 1, 1]                                                 :    12      :    12      :     9      :     8      :     9      :     8     
[1, 829933203, 1, 189, 1, 2258737, 3, 1834767]                                   :    19      :    18      :    16      :    17      :    16      :    16     
[1, 388738, 2, 96, 2, 919190, 1, 21, 1, 4522]                                    :    18      :    15      :    14      :    15      :    15      :    14     
[1, 0, 3, 2107, 2, 191326, 1, 6, 2, 52873836]                                    :    18      :    16      :    13      :    14      :    14      :    13     
[1, 3, 1, 54825086, 1, 8, 1, 220, 1, 7, 1, 406]                                  :    18      :    17      :    13      :    13      :    14      :    12     
[2, 30082715, 6, 126516559, 1, 0, 1, 15014, 1, 0, 1, 30485342]                   :    26      :    22      :    20      :    21      :    19      :    18     
[1, 131, 1, 943, 2, 11, 3, 173548, 1, 336696, 1, 104152, 5, 937283]              :    28      :    24      :    21      :    21      :    22      :    21     
[1, 1063701, 1, 1494098234, 1, 165873, 1, 487802175, 1, 0, 3, 2227926, 1, 13331799]
                                                                                 :    34      :    32      :    29      :    28      :    28      :    27     
[1, 21648, 1, 2426713, 1, 141983, 1, 9415953, 3, 342263104, 1, 730696, 1, 399, 4, 0]
                                                                                 :    35      :    33      :    28      :    28      :    28      :    27     
[1, 3, 1, 5, 1, 184257662, 8, 0, 1, 50122, 1, 2045, 5, 3682133440, 1, 126]       :    28      :    26      :    23      :    22      :    23      :    21     
[1, 507500, 1, 308057, 3, 3704331, 1, 16203, 2, 310406, 2, 210053, 4, 47572085, 2, 0, 1, 7]
                                                                                 :    39      :    33      :    30      :    29      :    30      :    29     
[3, 269, 1, 1, 2, 99714, 1, 143599, 1, 21, 1, 111881573, 1, 72, 1, 9746269, 3, 653]
                                                                                 :    34      :    30      :    26      :    26      :    27      :    25     
[1, 133161723, 1, 6683, 1, 0, 1, 374269698, 1, 486663117, 1, 45876864, 1, 24780, 1, 22822654, 1, 0, 1, 1285]
                                                                                 :    44      :    41      :    37      :    36      :    35      :    33     
[1, 15, 1, 3658516, 1, 25, 1, 180814, 3, 196219677, 3, 996573, 1, 3097969599, 1, 36, 1, 461056, 1, 191634246]
                                                                                 :    44      :    39      :    38      :    35      :    37      :    35     

=== Pattern random arrays0 [0,0,big,small,big,mediumsmall,medium] ===            |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 15293, 2, 40192, 40, 4314]                                                :    12      :    11      :    10      :    11      :    10      :    11     
[0, 0, 50156, 6, 11820, 37, 4939]                                                :    12      :    11      :    11      :    12      :    10      :    11     
[0, 0, 8208, 3, 56181, 15, 6096]                                                 :    11      :    11      :    11      :    11      :    10      :    10     
[0, 0, 32613, 1, 43559, 23, 8575]                                                :    13      :    12      :    11      :    11      :    10      :    10     
[0, 0, 18698, 2, 73598, 30, 13414]                                               :    13      :    12      :    11      :    11      :    11      :    11     
[0, 0, 50469, 2, 69893, 10, 4350]                                                :    12      :    12      :    11      :    10      :    11      :    11     
[0, 0, 79983, 7, 47624, 0, 5037]                                                 :    13      :    12      :    11      :    11      :    10      :    10     
[0, 0, 104801, 5, 26161, 14, 9968]                                               :    14      :    12      :    11      :    11      :    11      :    11     
[0, 0, 3915, 1, 134861, 17, 4791]                                                :    12      :    11      :    10      :    10      :    10      :    10     
[0, 0, 59532, 6, 86569, 23, 5803]                                                :    13      :    12      :    11      :    12      :    11      :    11     
[0, 0, 47419, 2, 102719, 5, 8252]                                                :    13      :    12      :    11      :    11      :    10      :    11     
[0, 0, 92424, 1, 69496, 4, 4861]                                                 :    13      :    12      :    11      :    11      :    10      :    10     
[0, 0, 83873, 3, 77342, 2, 15906]                                                :    15      :    12      :    11      :    11      :    11      :    11     
[0, 0, 153005, 1, 18865, 11, 7405]                                               :    13      :    12      :    11      :    11      :    10      :    10     
[0, 0, 70303, 7, 109094, 1, 7466]                                                :    13      :    12      :    11      :    11      :    11      :    10     
[0, 0, 145543, 5, 48796, 0, 11546]                                               :    14      :    12      :    11      :    11      :    10      :    11     
[0, 0, 185738, 1, 21201, 10, 4139]                                               :    13      :    12      :    10      :    10      :    10      :    10     
[0, 0, 54871, 3, 154107, 37, 10497]                                              :    14      :    12      :    11      :    11      :    11      :    11     
[0, 0, 17750, 8, 190622, 26, 11680]                                              :    14      :    12      :    11      :    12      :    11      :    11     
[0, 0, 221716, 4, 1356, 17, 12768]                                               :    13      :    11      :    10      :    10      :    10      :    11     
[0, 0, 113341, 1, 118318, 2, 21342]                                              :    15      :    13      :    11      :    11      :    11      :    11     
[0, 0, 139368, 3, 109540, 51, 6277]                                              :    14      :    12      :    11      :    12      :    11      :    11     
[0, 0, 72902, 7, 179695, 16, 6745]                                               :    13      :    12      :    11      :    12      :    12      :    11     
[0, 0, 135455, 3, 173565, 4, 5233]                                               :    14      :    12      :    11      :    11      :    11      :    11     
[0, 0, 150785, 8, 164184, 22, 4098]                                              :    14      :    12      :    11      :    11      :    12      :    12     
[0, 0, 133511, 0, 207195, 26, 4323]                                              :    14      :    12      :    11      :    10      :    11      :    11     
[0, 0, 270832, 6, 80486, 3, 5438]                                                :    14      :    12      :    11      :    11      :    11      :    11     
[0, 0, 181854, 2, 181232, 45, 5606]                                              :    14      :    12      :    11      :    12      :    11      :    12     
[0, 0, 114035, 0, 258105, 46, 6173]                                              :    14      :    12      :    11      :    12      :    11      :    11     
[0, 0, 308125, 1, 187170, 0, 14830]                                              :    15      :    12      :    11      :    10      :    10      :    11     

=== Pattern random arrays1 [1,1,big,small,big,mediumsmall,medium] ===            |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
[1, 1, 753, 7, 316, 57, 13565]                                                   :    11      :    10      :     9      :    11      :    10      :     9     
[1, 1, 5226, 3, 37035, 10, 8538]                                                 :    12      :    11      :    10      :    11      :    11      :    10     
[1, 1, 49644, 3, 9208, 4, 4735]                                                  :    12      :    11      :    10      :    11      :    11      :    10     
[1, 1, 8315, 3, 55377, 67, 4295]                                                 :    12      :    11      :    10      :    11      :    11      :    11     
[1, 1, 64883, 7, 3317, 4, 6837]                                                  :    11      :    11      :    10      :    10      :    11      :    10     
[1, 1, 46366, 1, 49987, 0, 9734]                                                 :    13      :    12      :    11      :    10      :    11      :    10     
[1, 1, 48967, 2, 80673, 8, 5454]                                                 :    13      :    12      :    11      :    11      :    11      :    11     
[1, 1, 73438, 2, 71726, 37, 4612]                                                :    12      :    12      :    11      :    11      :    12      :    11     
[1, 1, 62148, 0, 83342, 0, 15655]                                                :    14      :    12      :    11      :    10      :    10      :    10     
[1, 1, 94754, 0, 66695, 0, 5278]                                                 :    13      :    12      :    11      :    10      :    10      :    10     
[1, 1, 101609, 6, 61035, 26, 5579]                                               :    13      :    12      :    11      :    12      :    12      :    11     
[1, 1, 156296, 4, 35606, 17, 7453]                                               :    13      :    12      :    11      :    11      :    12      :    11     
[1, 1, 171983, 8, 35677, 4, 4517]                                                :    13      :    12      :    10      :    11      :    12      :    11     
[1, 1, 120507, 0, 103945, 19, 4219]                                              :    14      :    12      :    11      :    10      :    11      :    11     
[1, 1, 112625, 4, 112533, 14, 4808]                                              :    14      :    12      :    11      :    11      :    12      :    11     
[1, 1, 199831, 4, 26248, 8, 4598]                                                :    13      :    12      :    10      :    11      :    11      :    11     
[1, 1, 139985, 4, 95166, 22, 5959]                                               :    14      :    12      :    11      :    11      :    12      :    11     
[1, 1, 49231, 7, 185729, 45, 7359]                                               :    13      :    12      :    11      :    13      :    12      :    11     
[1, 1, 63207, 8, 185504, 8, 8869]                                                :    14      :    12      :    12      :    12      :    12      :    12     
[1, 1, 84858, 8, 162186, 5, 11282]                                               :    15      :    12      :    11      :    11      :    12      :    11     
[1, 1, 103417, 1, 178848, 3, 5245]                                               :    14      :    12      :    11      :    11      :    11      :    10     
[1, 1, 97858, 4, 179394, 8, 11402]                                               :    15      :    12      :    11      :    11      :    12      :    11     
[1, 1, 132224, 2, 153256, 9, 7097]                                               :    14      :    12      :    11      :    11      :    12      :    11     
[1, 1, 205508, 5, 79656, 12, 13007]                                              :    15      :    12      :    11      :    11      :    12      :    11     
[1, 1, 199101, 5, 96972, 26, 18561]                                              :    15      :    13      :    11      :    11      :    12      :    12     
[1, 1, 144195, 0, 183931, 5, 4451]                                               :    14      :    12      :    10      :    11      :    11      :    11     
[1, 1, 68808, 4, 271102, 20, 5192]                                               :    13      :    12      :    11      :    11      :    12      :    12     
[1, 1, 277525, 5, 108204, 14, 4805]                                              :    14      :    12      :    11      :    11      :    12      :    11     
[1, 1, 219030, 5, 175108, 37, 4333]                                              :    14      :    12      :    11      :    10      :    12      :    12     
[1, 1, 155856, 3, 252949, 18, 6078]                                              :    14      :    12      :    11      :    11      :    12      :    11     
