
=== Single numbers ===                                                           |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
[94]                                                                             :     2      :     1      :     2      :     2      :     2      :     2     
[95]                                                                             :     2      :     1      :     2      :     2      :     2      :     2     
[96]                                                                             :     2      :     1      :     2      :     2      :     2      :     2     
[97]                                                                             :     2      :     1      :     2      :     2      :     2      :     2     
[98]                                                                             :     2      :     1      :     2      :     2      :     2      :     2     
[99]                                                                             :     2      :     1      :     2      :     2      :     2      :     2     
[100]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[101]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[102]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[103]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[104]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[105]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[106]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[107]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[108]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[109]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[110]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[111]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[112]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[113]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[114]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[115]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[116]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[117]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[118]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[119]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[120]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[121]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[122]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[123]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[124]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[125]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[126]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
