
    Unsigned integers (first 200)
Number     Hex             Bytes           Decoded    Bin
151        3d 06           3d 06           151        00111101 00000110
152        7d 06           7d 06           152        01111101 00000110
153        bd 06           bd 06           153        10111101 00000110
154        fd 06           fd 06           154        11111101 00000110
155        3d 07           3d 07           155        00111101 00000111
156        7d 07           7d 07           156        01111101 00000111
157        bd 07           bd 07           157        10111101 00000111
158        fd 07           fd 07           158        11111101 00000111
159        3d 08           3d 08           159        00111101 00001000
160        7d 08           7d 08           160        01111101 00001000
161        bd 08           bd 08           161        10111101 00001000
162        fd 08           fd 08           162        11111101 00001000
163        3d 09           3d 09           163        00111101 00001001
164        7d 09           7d 09           164        01111101 00001001
165        bd 09           bd 09           165        10111101 00001001
166        fd 09           fd 09           166        11111101 00001001
167        3d 0a           3d 0a           167        00111101 00001010
168        7d 0a           7d 0a           168        01111101 00001010
169        bd 0a           bd 0a           169        10111101 00001010
170        fd 0a           fd 0a           170        11111101 00001010
171        3d 0b           3d 0b           171        00111101 00001011
172        7d 0b           7d 0b           172        01111101 00001011
173        bd 0b           bd 0b           173        10111101 00001011
174        fd 0b           fd 0b           174        11111101 00001011
175        3d 0c           3d 0c           175        00111101 00001100
176        7d 0c           7d 0c           176        01111101 00001100
177        bd 0c           bd 0c           177        10111101 00001100
178        fd 0c           fd 0c           178        11111101 00001100
179        3d 0d           3d 0d           179        00111101 00001101
180        7d 0d           7d 0d           180        01111101 00001101
181        bd 0d           bd 0d           181        10111101 00001101
182        fd 0d           fd 0d           182        11111101 00001101
183        3d 0e           3d 0e           183        00111101 00001110
184        7d 0e           7d 0e           184        01111101 00001110
185        bd 0e           bd 0e           185        10111101 00001110
186        fd 0e           fd 0e           186        11111101 00001110
187        3d 0f           3d 0f           187        00111101 00001111
188        7d 0f           7d 0f           188        01111101 00001111
189        bd 0f           bd 0f           189        10111101 00001111
190        fd 0f           fd 0f           190        11111101 00001111
191        3d 10           3d 10           191        00111101 00010000
192        7d 10           7d 10           192        01111101 00010000
193        bd 10           bd 10           193        10111101 00010000
194        fd 10           fd 10           194        11111101 00010000
195        3d 11           3d 11           195        00111101 00010001
196        7d 11           7d 11           196        01111101 00010001
