
    Unsigned integers (first 200)
Number     Hex             Bytes           Decoded    Bin
154        08 0d           08 0d           154        00001000 00001101
155        88 0d           88 0d           155        10001000 00001101
156        08 0e           08 0e           156        00001000 00001110
157        88 0e           88 0e           157        10001000 00001110
158        08 0f           08 0f           158        00001000 00001111
159        88 0f           88 0f           159        10001000 00001111
160        08 10           08 10           160        00001000 00010000
161        88 10           88 10           161        10001000 00010000
162        08 11           08 11           162        00001000 00010001
163        88 11           88 11           163        10001000 00010001
164        08 12           08 12           164        00001000 00010010
165        88 12           88 12           165        10001000 00010010
166        08 13           08 13           166        00001000 00010011
167        88 13           88 13           167        10001000 00010011
168        08 14           08 14           168        00001000 00010100
169        88 14           88 14           169        10001000 00010100
170        08 15           08 15           170        00001000 00010101
171        88 15           88 15           171        10001000 00010101
172        08 16           08 16           172        00001000 00010110
173        88 16           88 16           173        10001000 00010110
174        08 17           08 17           174        00001000 00010111
175        88 17           88 17           175        10001000 00010111
176        08 18           08 18           176        00001000 00011000
177        88 18           88 18           177        10001000 00011000
178        08 19           08 19           178        00001000 00011001
179        88 19           88 19           179        10001000 00011001
180        08 1a           08 1a           180        00001000 00011010
181        88 1a           88 1a           181        10001000 00011010
182        08 1b           08 1b           182        00001000 00011011
183        88 1b           88 1b           183        10001000 00011011
184        08 1c           08 1c           184        00001000 00011100
185        88 1c           88 1c           185        10001000 00011100
186        08 1d           08 1d           186        00001000 00011101
187        88 1d           88 1d           187        10001000 00011101
188        08 1e           08 1e           188        00001000 00011110
189        88 1e           88 1e           189        10001000 00011110
190        08 1f           08 1f           190        00001000 00011111
191        88 1f           88 1f           191        10001000 00011111
192        08 20           08 20           192        00001000 00100000
193        88 20           88 20           193        10001000 00100000
194        08 21           08 21           194        00001000 00100001
195        88 21           88 21           195        10001000 00100001
196        08 22           08 22           196        00001000 00100010
197        88 22           88 22           197        10001000 00100010
198        08 23           08 23           198        00001000 00100011
199        88 23           88 23           199        10001000 00100011

    Powers of two boundaries (v=2^k-1)
v                      logical_bits   len(bytes) Bin
0                      2              1          00000001
1                      2              1          00000011
2                      4              1          00000010
3                      4              1          00001010
6                      5              1          00010110
7                      5              1          00011110
14                     8              1          11000100
15                     8              1          11100100
30                     9              2          11001100 00000001
31                     9              2          11101100 00000001
62                     10             2          11010100 00000011
63                     10             2          11110100 00000011
126                    11             2          11011100 00000111
127                    11             2          11111100 00000111
254                    14             2          00001000 00111111
255                    14             2          10001000 00111111
510                    15             2          00011000 01111111
511                    15             2          10011000 01111111
1022                   16             2          00101000 11111111
1023                   16             2          10101000 11111111
2046                   17             3          00111000 11111111 00000001
2047                   17             3          10111000 11111111 00000001
4094                   18             3          01001000 11111111 00000011
4095                   18             3          11001000 11111111 00000011
8190                   19             3          01011000 11111111 00000111
8191                   19             3          11011000 11111111 00000111
16382                  20             3          01101000 11111111 00001111
16383                  20             3          11101000 11111111 00001111
32766                  21             3          01111000 11111111 00011111
32767                  21             3          11111000 11111111 00011111
65534                  24             3          00010000 11111100 11111111
65535                  24             3          00010000 11111110 11111111
131070                 25             4          00110000 11111100 11111111 00000001
131071                 25             4          00110000 11111110 11111111 00000001
262142                 26             4          01010000 11111100 11111111 00000011
262143                 26             4          01010000 11111110 11111111 00000011
524286                 27             4          01110000 11111100 11111111 00000111
524287                 27             4          01110000 11111110 11111111 00000111
1048574                28             4          10010000 11111100 11111111 00001111
1048575                28             4          10010000 11111110 11111111 00001111
2097150                29             4          10110000 11111100 11111111 00011111
2097151                29             4          10110000 11111110 11111111 00011111
4194302                30             4          11010000 11111100 11111111 00111111
4194303                30             4          11010000 11111110 11111111 00111111
8388606                31             4          11110000 11111100 11111111 01111111
8388607                31             4          11110000 11111110 11111111 01111111
16777214               32             4          00010000 11111101 11111111 11111111
16777215               32             4          00010000 11111111 11111111 11111111
33554430               33             5          00110000 11111101 11111111 11111111 00000001
33554431               33             5          00110000 11111111 11111111 11111111 00000001
67108862               34             5          01010000 11111101 11111111 11111111 00000011
67108863               34             5          01010000 11111111 11111111 11111111 00000011
134217726              35             5          01110000 11111101 11111111 11111111 00000111
134217727              35             5          01110000 11111111 11111111 11111111 00000111
268435454              36             5          10010000 11111101 11111111 11111111 00001111
268435455              36             5          10010000 11111111 11111111 11111111 00001111
536870910              37             5          10110000 11111101 11111111 11111111 00011111
536870911              37             5          10110000 11111111 11111111 11111111 00011111
1073741822             38             5          11010000 11111101 11111111 11111111 00111111
1073741823             38             5          11010000 11111111 11111111 11111111 00111111
2147483646             39             5          11110000 11111101 11111111 11111111 01111111
2147483647             39             5          11110000 11111111 11111111 11111111 01111111
4294967294             42             6          00100000 11110000 11111111 11111111 11111111 00000011
4294967295             42             6          00100000 11111000 11111111 11111111 11111111 00000011
8589934590             43             6          01100000 11110000 11111111 11111111 11111111 00000111
8589934591             43             6          01100000 11111000 11111111 11111111 11111111 00000111
17179869182            44             6          10100000 11110000 11111111 11111111 11111111 00001111
17179869183            44             6          10100000 11111000 11111111 11111111 11111111 00001111
34359738366            45             6          11100000 11110000 11111111 11111111 11111111 00011111
34359738367            45             6          11100000 11111000 11111111 11111111 11111111 00011111
68719476734            46             6          00100000 11110001 11111111 11111111 11111111 00111111
68719476735            46             6          00100000 11111001 11111111 11111111 11111111 00111111
137438953470           47             6          01100000 11110001 11111111 11111111 11111111 01111111
137438953471           47             6          01100000 11111001 11111111 11111111 11111111 01111111
274877906942           48             6          10100000 11110001 11111111 11111111 11111111 11111111
274877906943           48             6          10100000 11111001 11111111 11111111 11111111 11111111
549755813886           49             7          11100000 11110001 11111111 11111111 11111111 11111111 00000001
549755813887           49             7          11100000 11111001 11111111 11111111 11111111 11111111 00000001
1099511627774          50             7          00100000 11110010 11111111 11111111 11111111 11111111 00000011
1099511627775          50             7          00100000 11111010 11111111 11111111 11111111 11111111 00000011
2199023255550          51             7          01100000 11110010 11111111 11111111 11111111 11111111 00000111
2199023255551          51             7          01100000 11111010 11111111 11111111 11111111 11111111 00000111
4398046511102          52             7          10100000 11110010 11111111 11111111 11111111 11111111 00001111
4398046511103          52             7          10100000 11111010 11111111 11111111 11111111 11111111 00001111
8796093022206          53             7          11100000 11110010 11111111 11111111 11111111 11111111 00011111
8796093022207          53             7          11100000 11111010 11111111 11111111 11111111 11111111 00011111
17592186044414         54             7          00100000 11110011 11111111 11111111 11111111 11111111 00111111
17592186044415         54             7          00100000 11111011 11111111 11111111 11111111 11111111 00111111
35184372088830         55             7          01100000 11110011 11111111 11111111 11111111 11111111 01111111
35184372088831         55             7          01100000 11111011 11111111 11111111 11111111 11111111 01111111
70368744177662         56             7          10100000 11110011 11111111 11111111 11111111 11111111 11111111
70368744177663         56             7          10100000 11111011 11111111 11111111 11111111 11111111 11111111
140737488355326        57             8          11100000 11110011 11111111 11111111 11111111 11111111 11111111 00000001
140737488355327        57             8          11100000 11111011 11111111 11111111 11111111 11111111 11111111 00000001
281474976710654        58             8          00100000 11110100 11111111 11111111 11111111 11111111 11111111 00000011
281474976710655        58             8          00100000 11111100 11111111 11111111 11111111 11111111 11111111 00000011
562949953421310        59             8          01100000 11110100 11111111 11111111 11111111 11111111 11111111 00000111
562949953421311        59             8          01100000 11111100 11111111 11111111 11111111 11111111 11111111 00000111
1125899906842622       60             8          10100000 11110100 11111111 11111111 11111111 11111111 11111111 00001111
1125899906842623       60             8          10100000 11111100 11111111 11111111 11111111 11111111 11111111 00001111
2251799813685246       61             8          11100000 11110100 11111111 11111111 11111111 11111111 11111111 00011111
2251799813685247       61             8          11100000 11111100 11111111 11111111 11111111 11111111 11111111 00011111
4503599627370494       62             8          00100000 11110101 11111111 11111111 11111111 11111111 11111111 00111111
4503599627370495       62             8          00100000 11111101 11111111 11111111 11111111 11111111 11111111 00111111
9007199254740990       63             8          01100000 11110101 11111111 11111111 11111111 11111111 11111111 01111111
9007199254740991       63             8          01100000 11111101 11111111 11111111 11111111 11111111 11111111 01111111
18014398509481982      64             8          10100000 11110101 11111111 11111111 11111111 11111111 11111111 11111111
18014398509481983      64             8          10100000 11111101 11111111 11111111 11111111 11111111 11111111 11111111
36028797018963966      65             9          11100000 11110101 11111111 11111111 11111111 11111111 11111111 11111111 00000001
36028797018963967      65             9          11100000 11111101 11111111 11111111 11111111 11111111 11111111 11111111 00000001
72057594037927934      66             9          00100000 11110110 11111111 11111111 11111111 11111111 11111111 11111111 00000011
72057594037927935      66             9          00100000 11111110 11111111 11111111 11111111 11111111 11111111 11111111 00000011
144115188075855870     67             9          01100000 11110110 11111111 11111111 11111111 11111111 11111111 11111111 00000111
144115188075855871     67             9          01100000 11111110 11111111 11111111 11111111 11111111 11111111 11111111 00000111
288230376151711742     68             9          10100000 11110110 11111111 11111111 11111111 11111111 11111111 11111111 00001111
288230376151711743     68             9          10100000 11111110 11111111 11111111 11111111 11111111 11111111 11111111 00001111
576460752303423486     69             9          11100000 11110110 11111111 11111111 11111111 11111111 11111111 11111111 00011111
576460752303423487     69             9          11100000 11111110 11111111 11111111 11111111 11111111 11111111 11111111 00011111
1152921504606846974    70             9          00100000 11110111 11111111 11111111 11111111 11111111 11111111 11111111 00111111
1152921504606846975    70             9          00100000 11111111 11111111 11111111 11111111 11111111 11111111 11111111 00111111
2305843009213693950    71             9          01100000 11110111 11111111 11111111 11111111 11111111 11111111 11111111 01111111
2305843009213693951    71             9          01100000 11111111 11111111 11111111 11111111 11111111 11111111 11111111 01111111
4611686018427387902    72             9          10100000 11110111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
4611686018427387903    72             9          10100000 11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
9223372036854775806    73             10         11100000 11110111 11111111 11111111 11111111 11111111 11111111 11111111 11111111 00000001
9223372036854775807    73             10         11100000 11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111 00000001
18446744073709551614   76             10         01000000 11000000 11111111 11111111 11111111 11111111 11111111 11111111 11111111 00001111
18446744073709551615   76             10         01000000 11100000 11111111 11111111 11111111 11111111 11111111 11111111 11111111 00001111

Boundary length transition spot checks
Random bulk test
Encoded 500 values -> 2495 bytes (avg 4.99)
Signed mapping test
All tests passed (LSB-tail delta variant).
