
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
1600       c6 00                11000110 00000000               1600                
1610       c6 0a                11000110 00001010               1610                
1620       c6 14                11000110 00010100               1620                
1630       c6 1e                11000110 00011110               1630                
1640       c6 28                11000110 00101000               1640                
1650       c6 32                11000110 00110010               1650                
1660       c6 3c                11000110 00111100               1660                
1670       c6 46                11000110 01000110               1670                
1680       c6 50                11000110 01010000               1680                
1690       c6 5a                11000110 01011010               1690                
1700       c6 64                11000110 01100100               1700                
1710       c6 6e                11000110 01101110               1710                
1720       c6 78                11000110 01111000               1720                
1730       c6 82                11000110 10000010               1730                
1740       c6 8c                11000110 10001100               1740                
1750       c6 96                11000110 10010110               1750                
1760       c6 a0                11000110 10100000               1760                
1770       c6 aa                11000110 10101010               1770                
1780       c6 b4                11000110 10110100               1780                
1790       c6 be                11000110 10111110               1790                
1800       c6 c8                11000110 11001000               1800                
1810       c6 d2                11000110 11010010               1810                
1820       c6 dc                11000110 11011100               1820                
1830       c6 e6                11000110 11100110               1830                
1840       c6 f0                11000110 11110000               1840                
1850       c6 fa                11000110 11111010               1850                
1860       c7 04                11000111 00000100               1860                
1870       c7 0e                11000111 00001110               1870                
1880       c7 18                11000111 00011000               1880                
1890       c7 22                11000111 00100010               1890                
1900       c7 2c                11000111 00101100               1900                
1910       c7 36                11000111 00110110               1910                
1920       c7 40                11000111 01000000               1920                
1930       c7 4a                11000111 01001010               1930                
1940       c7 54                11000111 01010100               1940                
1950       c7 5e                11000111 01011110               1950                
1960       c7 68                11000111 01101000               1960                
1970       c7 72                11000111 01110010               1970                
1980       c7 7c                11000111 01111100               1980                
1990       c7 86                11000111 10000110               1990                
2000       c7 90                11000111 10010000               2000                
2080       c7 e0                11000111 11100000               2080                
2210       c8 62                11001000 01100010               2210                
2530       c9 a2                11001001 10100010               2530                
3280       cc 90                11001100 10010000               3280                
4980       d3 34                11010011 00110100               4980                
8820       e2 02 34             11100010 00000010 00110100      8820                
17360      e2 23 90             11100010 00100011 10010000      17360               
36130      e2 6c e2             11100010 01101100 11100010      36130               
77090      e3 01 0c e2          11100011 00000001 00001100 11100010  77090               
165840     e3 02 67 90          11100011 00000010 01100111 10010000  165840              
356980     e3 05 52 34          11100011 00000101 01010010 00110100  356980              
766580     e3 0b 92 34          11100011 00001011 10010010 00110100  766580              
1640400    e3 18 e7 90          11100011 00011000 11100111 10010000  1640400             
3497250    e3 35 3c e2          11100011 00110101 00111100 11100010  3497250             
7429410    e3 71 3c e2          11100011 01110001 00111100 11100010  7429410             
15730640   e3 ef e7 90          11100011 11101111 11100111 10010000  15730640            
33206900   e4 01 fa 92 34       11100100 00000001 11111010 10010010 00110100  33206900            
69907060   e4 04 2a 92 34       11100100 00000100 00101010 10010010 00110100  69907060            
146802640  e4 08 bf e7 90       11100100 00001000 10111111 11100111 10010000  146802640           
307584290  e4 12 55 3c e2       11100100 00010010 01010101 00111100 11100010  307584290           
643128610  e4 26 55 3c e2       11100100 00100110 01010101 00111100 11100010  643128610           
1342179280 e4 4f ff e7 90       11100100 01001111 11111111 11100111 10010000  1342179280          
2796204660 e4 a6 aa 92 34       11100100 10100110 10101010 10010010 00110100  2796204660          
5816103540 e5 01 5a aa 92 34    11100101 00000001 01011010 10101010 10010010 00110100  5816103540          
12079597520 e5 02 cf ff e7 90    11100101 00000010 11001111 11111111 11100111 10010000  12079597520         
25053977890 e5 05 d5 55 3c e2    11100101 00000101 11010101 01010101 00111100 11100010  25053977890         
51897523490 e5 0c 15 55 3c e2    11100101 00001100 00010101 01010101 00111100 11100010  51897523490         

    Signed integers
Number     Hex                  Bin                  Decoded Value       
-1000      3c 58                00111100 01011000    -1000               
-990       3c 62                00111100 01100010    -990                
-980       3c 6c                00111100 01101100    -980                
-970       3c 76                00111100 01110110    -970                
-960       3c 80                00111100 10000000    -960                
-950       3c 8a                00111100 10001010    -950                
-940       3c 94                00111100 10010100    -940                
-930       3c 9e                00111100 10011110    -930                
-920       3c a8                00111100 10101000    -920                
-910       3c b2                00111100 10110010    -910                
-900       3c bc                00111100 10111100    -900                
-890       3c c6                00111100 11000110    -890                
-880       3c d0                00111100 11010000    -880                
-870       3c da                00111100 11011010    -870                
-860       3c e4                00111100 11100100    -860                
-850       3c ee                00111100 11101110    -850                
-840       3c f8                00111100 11111000    -840                
-830       3d 02                00111101 00000010    -830                
