
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
1660       fc 0b                11111100 00001011               1660                
1670       86 0c                10000110 00001100               1670                
1680       90 0c                10010000 00001100               1680                
1690       9a 0c                10011010 00001100               1690                
1700       a4 0c                10100100 00001100               1700                
1710       ae 0c                10101110 00001100               1710                
1720       b8 0c                10111000 00001100               1720                
1730       c2 0c                11000010 00001100               1730                
1740       cc 0c                11001100 00001100               1740                
1750       d6 0c                11010110 00001100               1750                
1760       e0 0c                11100000 00001100               1760                
1770       ea 0c                11101010 00001100               1770                
1780       f4 0c                11110100 00001100               1780                
1790       fe 0c                11111110 00001100               1790                
1800       88 0d                10001000 00001101               1800                
1810       92 0d                10010010 00001101               1810                
1820       9c 0d                10011100 00001101               1820                
1830       a6 0d                10100110 00001101               1830                
1840       b0 0d                10110000 00001101               1840                
1850       ba 0d                10111010 00001101               1850                
1860       c4 0d                11000100 00001101               1860                
1870       ce 0d                11001110 00001101               1870                
1880       d8 0d                11011000 00001101               1880                
1890       e2 0d                11100010 00001101               1890                
1900       ec 0d                11101100 00001101               1900                
1910       f6 0d                11110110 00001101               1910                
1920       80 0e                10000000 00001110               1920                
1930       8a 0e                10001010 00001110               1930                
1940       94 0e                10010100 00001110               1940                
1950       9e 0e                10011110 00001110               1950                
1960       a8 0e                10101000 00001110               1960                
1970       b2 0e                10110010 00001110               1970                
1980       bc 0e                10111100 00001110               1980                
1990       c6 0e                11000110 00001110               1990                
2000       d0 0e                11010000 00001110               2000                
2080       a0 0f                10100000 00001111               2080                
2210       a2 10                10100010 00010000               2210                
2530       e2 12                11100010 00010010               2530                
3280       d0 18                11010000 00011000               3280                
4980       f4 25                11110100 00100101               4980                
8820       f4 43                11110100 01000011               8820                
17360      d0 86 00             11010000 10000110 00000000      17360               
36130      a2 99 01             10100010 10011001 00000001      36130               
77090      a2 d9 03             10100010 11011001 00000011      77090               
165840     d0 8e 09             11010000 10001110 00001001      165840              
356980     f4 e3 14             11110100 11100011 00010100      356980              
766580     f4 e3 2d             11110100 11100011 00101101      766580              
1640400    d0 8e 63             11010000 10001110 01100011      1640400             
3497250    a2 b9 d4 00          10100010 10111001 11010100 00000000  3497250             
7429410    a2 b9 c4 02          10100010 10111001 11000100 00000010  7429410             
15730640   d0 8e bf 06          11010000 10001110 10111111 00000110  15730640            
33206900   f4 e3 e9 0e          11110100 11100011 11101001 00001110  33206900            
69907060   f4 e3 a9 20          11110100 11100011 10101001 00100000  69907060            
146802640  d0 8e ff 44          11010000 10001110 11111111 01000100  146802640           
307584290  a2 b9 d4 91 00       10100010 10111001 11010100 10010001 00000000  307584290           
643128610  a2 b9 d4 b1 01       10100010 10111001 11010100 10110001 00000001  643128610           
1342179280 d0 8e ff fe 03       11010000 10001110 11111111 11111110 00000011  1342179280          
2796204660 f4 e3 a9 b4 09       11110100 11100011 10101001 10110100 00001001  2796204660          
5816103540 f4 e3 a9 d4 14       11110100 11100011 10101001 11010100 00010100  5816103540          
12079597520 d0 8e ff fe 2b       11010000 10001110 11111111 11111110 00101011  12079597520         
25053977890 a2 b9 d4 a9 5c       10100010 10111001 11010100 10101001 01011100  25053977890         
51897523490 a2 b9 d4 a9 c0 00    10100010 10111001 11010100 10101001 11000000 00000000  51897523490         

    Signed integers
Number     Hex                  Bin                  Decoded Value       
-1000      cf 0e                11001111 00001110    -1000               
-990       bb 0e                10111011 00001110    -990                
-980       a7 0e                10100111 00001110    -980                
-970       93 0e                10010011 00001110    -970                
-960       ff 0d                11111111 00001101    -960                
-950       eb 0d                11101011 00001101    -950                
-940       d7 0d                11010111 00001101    -940                
-930       c3 0d                11000011 00001101    -930                
-920       af 0d                10101111 00001101    -920                
-910       9b 0d                10011011 00001101    -910                
-900       87 0d                10000111 00001101    -900                
-890       f3 0c                11110011 00001100    -890                
-880       df 0c                11011111 00001100    -880                
-870       cb 0c                11001011 00001100    -870                
-860       b7 0c                10110111 00001100    -860                
-850       a3 0c                10100011 00001100    -850                
-840       8f 0c                10001111 00001100    -840                
-830       fb 0b                11111011 00001011    -830                
-820       e7 0b                11100111 00001011    -820                
-810       d3 0b                11010011 00001011    -810                
-800       bf 0b                10111111 00001011    -800                
-790       ab 0b                10101011 00001011    -790                
-780       97 0b                10010111 00001011    -780                
-770       83 0b                10000011 00001011    -770                
-760       ef 0a                11101111 00001010    -760                
-750       db 0a                11011011 00001010    -750                
-740       c7 0a                11000111 00001010    -740                
-730       b3 0a                10110011 00001010    -730                
-720       9f 0a                10011111 00001010    -720                
-710       8b 0a                10001011 00001010    -710                
-700       f7 09                11110111 00001001    -700                
-690       e3 09                11100011 00001001    -690                
-680       cf 09                11001111 00001001    -680                
-670       bb 09                10111011 00001001    -670                
-660       a7 09                10100111 00001001    -660                
-650       93 09                10010011 00001001    -650                
-640       ff 08                11111111 00001000    -640                
-630       eb 08                11101011 00001000    -630                
-620       d7 08                11010111 00001000    -620                
-610       c3 08                11000011 00001000    -610                
-600       af 08                10101111 00001000    -600                
-590       9b 08                10011011 00001000    -590                
-580       87 08                10000111 00001000    -580                
-570       f3 07                11110011 00000111    -570                
-560       df 07                11011111 00000111    -560                
-550       cb 07                11001011 00000111    -550                
-540       b7 07                10110111 00000111    -540                
-530       a3 07                10100011 00000111    -530                
-520       8f 07                10001111 00000111    -520                
-510       fb 06                11111011 00000110    -510                
-500       e7 06                11100111 00000110    -500                
-490       d3 06                11010011 00000110    -490                
-480       bf 06                10111111 00000110    -480                
-470       ab 06                10101011 00000110    -470                
-460       97 06                10010111 00000110    -460                
-450       83 06                10000011 00000110    -450                
-440       ef 05                11101111 00000101    -440                
-430       db 05                11011011 00000101    -430                
-420       c7 05                11000111 00000101    -420                
-410       b3 05                10110011 00000101    -410                
-400       9f 05                10011111 00000101    -400                
-390       8b 05                10001011 00000101    -390                
-380       f7 04                11110111 00000100    -380                
-370       e3 04                11100011 00000100    -370                
-360       cf 04                11001111 00000100    -360                
-350       bb 04                10111011 00000100    -350                
-340       a7 04                10100111 00000100    -340                
-330       93 04                10010011 00000100    -330                
-320       ff 03                11111111 00000011    -320                
-310       eb 03                11101011 00000011    -310                
-300       d7 03                11010111 00000011    -300                
-290       c3 03                11000011 00000011    -290                
-280       af 03                10101111 00000011    -280                
-270       9b 03                10011011 00000011    -270                
-260       87 03                10000111 00000011    -260                
-250       f3 02                11110011 00000010    -250                
-240       df 02                11011111 00000010    -240                
-230       cb 02                11001011 00000010    -230                
-220       b7 02                10110111 00000010    -220                
-210       a3 02                10100011 00000010    -210                
-200       8f 02                10001111 00000010    -200                
-190       fb 01                11111011 00000001    -190                
-180       e7 01                11100111 00000001    -180                
-170       d3 01                11010011 00000001    -170                
-160       bf 01                10111111 00000001    -160                
-150       ab 01                10101011 00000001    -150                
-140       97 01                10010111 00000001    -140                
-130       83 01                10000011 00000001    -130                
-120       ef 00                11101111 00000000    -120                
-110       db 00                11011011 00000000    -110                
-100       c7 00                11000111 00000000    -100                
-90        b3 00                10110011 00000000    -90                 
-80        9f 00                10011111 00000000    -80                 
-70        8b 00                10001011 00000000    -70                 
-60        77                   01110111             -60                 
-50        63                   01100011             -50                 
-40        4f                   01001111             -40                 
-30        3b                   00111011             -30                 
-20        27                   00100111             -20                 
-10        13                   00010011             -10                 
0          00                   00000000             0                   
10         14                   00010100             10                  
20         28                   00101000             20                  
30         3c                   00111100             30                  
40         50                   01010000             40                  
50         64                   01100100             50                  
60         78                   01111000             60                  
70         8c 00                10001100 00000000    70                  
80         a0 00                10100000 00000000    80                  
90         b4 00                10110100 00000000    90                  
100        c8 00                11001000 00000000    100                 
110        dc 00                11011100 00000000    110                 
120        f0 00                11110000 00000000    120                 
130        84 01                10000100 00000001    130                 
140        98 01                10011000 00000001    140                 
150        ac 01                10101100 00000001    150                 
160        c0 01                11000000 00000001    160                 
170        d4 01                11010100 00000001    170                 
180        e8 01                11101000 00000001    180                 
190        fc 01                11111100 00000001    190                 
200        90 02                10010000 00000010    200                 
210        a4 02                10100100 00000010    210                 
220        b8 02                10111000 00000010    220                 
230        cc 02                11001100 00000010    230                 
240        e0 02                11100000 00000010    240                 
250        f4 02                11110100 00000010    250                 
260        88 03                10001000 00000011    260                 
270        9c 03                10011100 00000011    270                 
280        b0 03                10110000 00000011    280                 
290        c4 03                11000100 00000011    290                 
300        d8 03                11011000 00000011    300                 
310        ec 03                11101100 00000011    310                 
320        80 04                10000000 00000100    320                 
330        94 04                10010100 00000100    330                 
340        a8 04                10101000 00000100    340                 
350        bc 04                10111100 00000100    350                 
360        d0 04                11010000 00000100    360                 
370        e4 04                11100100 00000100    370                 
380        f8 04                11111000 00000100    380                 
390        8c 05                10001100 00000101    390                 
400        a0 05                10100000 00000101    400                 
410        b4 05                10110100 00000101    410                 
420        c8 05                11001000 00000101    420                 
430        dc 05                11011100 00000101    430                 
440        f0 05                11110000 00000101    440                 
450        84 06                10000100 00000110    450                 
460        98 06                10011000 00000110    460                 
470        ac 06                10101100 00000110    470                 
480        c0 06                11000000 00000110    480                 
490        d4 06                11010100 00000110    490                 
500        e8 06                11101000 00000110    500                 
510        fc 06                11111100 00000110    510                 
520        90 07                10010000 00000111    520                 
530        a4 07                10100100 00000111    530                 
540        b8 07                10111000 00000111    540                 
550        cc 07                11001100 00000111    550                 
560        e0 07                11100000 00000111    560                 
570        f4 07                11110100 00000111    570                 
580        88 08                10001000 00001000    580                 
590        9c 08                10011100 00001000    590                 
600        b0 08                10110000 00001000    600                 
610        c4 08                11000100 00001000    610                 
620        d8 08                11011000 00001000    620                 
630        ec 08                11101100 00001000    630                 
640        80 09                10000000 00001001    640                 
650        94 09                10010100 00001001    650                 
660        a8 09                10101000 00001001    660                 
670        bc 09                10111100 00001001    670                 
680        d0 09                11010000 00001001    680                 
690        e4 09                11100100 00001001    690                 
700        f8 09                11111000 00001001    700                 
710        8c 0a                10001100 00001010    710                 
720        a0 0a                10100000 00001010    720                 
730        b4 0a                10110100 00001010    730                 
740        c8 0a                11001000 00001010    740                 
750        dc 0a                11011100 00001010    750                 
760        f0 0a                11110000 00001010    760                 
770        84 0b                10000100 00001011    770                 
780        98 0b                10011000 00001011    780                 
790        ac 0b                10101100 00001011    790                 
800        c0 0b                11000000 00001011    800                 
810        d4 0b                11010100 00001011    810                 
820        e8 0b                11101000 00001011    820                 
830        fc 0b                11111100 00001011    830                 
840        90 0c                10010000 00001100    840                 
850        a4 0c                10100100 00001100    850                 
860        b8 0c                10111000 00001100    860                 
870        cc 0c                11001100 00001100    870                 
880        e0 0c                11100000 00001100    880                 
890        f4 0c                11110100 00001100    890                 
900        88 0d                10001000 00001101    900                 
910        9c 0d                10011100 00001101    910                 
920        b0 0d                10110000 00001101    920                 
930        c4 0d                11000100 00001101    930                 
940        d8 0d                11011000 00001101    940                 
950        ec 0d                11101100 00001101    950                 
960        80 0e                10000000 00001110    960                 
970        94 0e                10010100 00001110    970                 
980        a8 0e                10101000 00001110    980                 
