
    Unsigned integers (first 300)
Number     Hex                  Bin                             Decoded
207        3c 04                00111100 00000100               207
208        44 04                01000100 00000100               208
209        4c 04                01001100 00000100               209
210        54 04                01010100 00000100               210
211        5c 04                01011100 00000100               211
212        64 04                01100100 00000100               212
213        6c 04                01101100 00000100               213
214        74 04                01110100 00000100               214
215        7c 04                01111100 00000100               215
216        84 04                10000100 00000100               216
217        8c 04                10001100 00000100               217
218        94 04                10010100 00000100               218
219        9c 04                10011100 00000100               219
220        a4 04                10100100 00000100               220
221        ac 04                10101100 00000100               221
222        b4 04                10110100 00000100               222
223        bc 04                10111100 00000100               223
224        c4 04                11000100 00000100               224
225        cc 04                11001100 00000100               225
226        d4 04                11010100 00000100               226
227        dc 04                11011100 00000100               227
228        e4 04                11100100 00000100               228
229        ec 04                11101100 00000100               229
230        f4 04                11110100 00000100               230
231        fc 04                11111100 00000100               231
232        04 05                00000100 00000101               232
233        0c 05                00001100 00000101               233
234        14 05                00010100 00000101               234
235        1c 05                00011100 00000101               235
236        24 05                00100100 00000101               236
237        2c 05                00101100 00000101               237
238        34 05                00110100 00000101               238
239        3c 05                00111100 00000101               239
240        44 05                01000100 00000101               240
241        4c 05                01001100 00000101               241
242        54 05                01010100 00000101               242
243        5c 05                01011100 00000101               243
244        64 05                01100100 00000101               244
245        6c 05                01101100 00000101               245
246        74 05                01110100 00000101               246
247        7c 05                01111100 00000101               247
248        84 05                10000100 00000101               248
249        8c 05                10001100 00000101               249
250        94 05                10010100 00000101               250
251        9c 05                10011100 00000101               251
252        a4 05                10100100 00000101               252
253        ac 05                10101100 00000101               253
254        b4 05                10110100 00000101               254
255        bc 05                10111100 00000101               255
256        c4 05                11000100 00000101               256
257        cc 05                11001100 00000101               257
258        d4 05                11010100 00000101               258
259        dc 05                11011100 00000101               259
260        e4 05                11100100 00000101               260
261        ec 05                11101100 00000101               261
262        f4 05                11110100 00000101               262
263        fc 05                11111100 00000101               263
264        04 06                00000100 00000110               264
265        0c 06                00001100 00000110               265
266        14 06                00010100 00000110               266
267        1c 06                00011100 00000110               267
268        24 06                00100100 00000110               268
269        2c 06                00101100 00000110               269
270        34 06                00110100 00000110               270
271        3c 06                00111100 00000110               271
272        44 06                01000100 00000110               272
273        4c 06                01001100 00000110               273
274        54 06                01010100 00000110               274
275        5c 06                01011100 00000110               275
276        64 06                01100100 00000110               276
277        6c 06                01101100 00000110               277
278        74 06                01110100 00000110               278
279        7c 06                01111100 00000110               279
280        84 06                10000100 00000110               280
281        8c 06                10001100 00000110               281
282        94 06                10010100 00000110               282
283        9c 06                10011100 00000110               283
284        a4 06                10100100 00000110               284
285        ac 06                10101100 00000110               285
286        b4 06                10110100 00000110               286
287        bc 06                10111100 00000110               287
288        c4 06                11000100 00000110               288
289        cc 06                11001100 00000110               289
290        d4 06                11010100 00000110               290
291        dc 06                11011100 00000110               291
292        e4 06                11100100 00000110               292
293        ec 06                11101100 00000110               293
294        f4 06                11110100 00000110               294
295        fc 06                11111100 00000110               295
296        04 07                00000100 00000111               296
297        0c 07                00001100 00000111               297
298        14 07                00010100 00000111               298
299        1c 07                00011100 00000111               299

Boundary test cases:
Value                  Hex                              Bytes                          Decoded
0                      01                               01                             0
7                      0f                               0f                             7
8                      02                               02                             8
71                     fe                               fe                             71
72                     04 00                            04 00                          72
583                    fc 0f                            fc 0f                          583
584                    08 00                            08 00                          584
4679                   f8 ff                            f8 ff                          4679
4680                   10 00 00                         10 00 00                       4680
528967                 f0 ff ff                         f0 ff ff                       528967
528968                 20 00 00 00                      20 00 00 00                    528968
67637831               e0 ff ff ff                      e0 ff ff ff                    67637831
67637832               c0 00 00 00 00                   c0 00 00 00 00                 67637832
4362605127             c0 ff ff ff ff                   c0 ff ff ff ff                 4362605127
4362605128             40 00 00 00 00 01                40 00 00 00 00 01              4362605128
1099579265607          40 ff ff ff ff ff                40 ff ff ff ff ff              1099579265607
1099579265608          80 00 00 00 00 00 01             80 00 00 00 00 00 01           1099579265608
281475044348487        80 ff ff ff ff ff ff             80 ff ff ff ff ff ff           281475044348487
281475044348488        00 00 00 00 00 00 00 01 00       00 00 00 00 00 00 00 01 00     281475044348488
18446744073709551615   00 b7 ed f7 fb ff ff ff ff       00 b7 ed f7 fb ff ff ff ff     18446744073709551615

Random / special spot checks:
Value                  Hex                              Bytes                          Decoded
12345                  30 be 03                         30 be 03                       12345
678910                 a0 6d 92 00                      a0 6d 92 00                    678910
67108863               e0 6d fb fd                      e0 6d fb fd                    67108863
67108864               20 6e fb fd                      20 6e fb fd                    67108864
4294967295             c0 b7 ed f7 fb                   c0 b7 ed f7 fb                 4294967295
4294967296             c0 b8 ed f7 fb                   c0 b8 ed f7 fb                 4294967296
1099511627775          40 b7 ed f7 fb ff                40 b7 ed f7 fb ff              1099511627775
281474976710655        80 b7 ed f7 fb ff ff             80 b7 ed f7 fb ff ff           281474976710655
72057594037927935      00 b7 ed f7 fb ff ff ff 00       00 b7 ed f7 fb ff ff ff 00     72057594037927935
18446744073709551615   00 b7 ed f7 fb ff ff ff ff       00 b7 ed f7 fb ff ff ff ff     18446744073709551615

Sequence test values:
Idx  Value        Decoded
0    0            0
1    7            7
2    8            8
3    9            9
4    71           71
5    72           72
6    528967       528967
7    528968       528968
8    67637831     67637831
9    67637832     67637832
10   1099511627775 1099511627775
11   18446744073709551615 18446744073709551615

    Signed integers
Number     Hex                  Bin                  Decoded
-100       fc 03                11111100 00000011    -100
-99        ec 03                11101100 00000011    -99
-98        dc 03                11011100 00000011    -98
-97        cc 03                11001100 00000011    -97
-96        bc 03                10111100 00000011    -96
-95        ac 03                10101100 00000011    -95
-94        9c 03                10011100 00000011    -94
-93        8c 03                10001100 00000011    -93
-92        7c 03                01111100 00000011    -92
-91        6c 03                01101100 00000011    -91
-90        5c 03                01011100 00000011    -90
-89        4c 03                01001100 00000011    -89
-88        3c 03                00111100 00000011    -88
-87        2c 03                00101100 00000011    -87
-86        1c 03                00011100 00000011    -86
-85        0c 03                00001100 00000011    -85
-84        fc 02                11111100 00000010    -84
-83        ec 02                11101100 00000010    -83
-82        dc 02                11011100 00000010    -82
-81        cc 02                11001100 00000010    -81
-80        bc 02                10111100 00000010    -80
-79        ac 02                10101100 00000010    -79
-78        9c 02                10011100 00000010    -78
-77        8c 02                10001100 00000010    -77
-76        7c 02                01111100 00000010    -76
-75        6c 02                01101100 00000010    -75
-74        5c 02                01011100 00000010    -74
-73        4c 02                01001100 00000010    -73
-72        3c 02                00111100 00000010    -72
-71        2c 02                00101100 00000010    -71
-70        1c 02                00011100 00000010    -70
-69        0c 02                00001100 00000010    -69
